Sent date,DD,Category name,Main vs REM,Subject,Sendings,OR clean %,length of subject,Personalization,Emoji,Urgency,Tone,Price or Discount,imperative ,product,Month,letter_count
2024-07-05,Wednesday,NL Interval,MAIN,Missa inte - Fotopresenter från endast 59 kr!,2565,0.1392,0,0,0,0,1,1,1,1,7,33
2024-07-12,Wednesday,NL Interval,MAIN,Skynda dig! Väggdekor från endast 39kr!,3186,0.1309,0,0,0,1,1,1,1,1,7,28
2024-06-18,Sunday,NL Interval,MAIN,3 dagar - 4 produkter - upp till 76% rabatt!,3345,0.1247,0,0,0,1,0,1,0,0,6,27
2024-11-22,Wednesday,NL Interval,MAIN,Missa inte - Fotopresenter från endast 59 kr!,7110,0.1013,0,0,0,0,1,1,1,1,11,33
2024-04-23,Sunday,NL Interval,MAIN,Skynda dig | -54% på XXL-Canvastavla!,2259,0.1607,0,0,0,1,1,1,1,1,4,24
2024-02-02,Wednesday,NL Interval,MAIN,Dekorativ inredning för hemmet till de bästa priset,2082,0.0778,0,0,0,0,0,0,0,1,2,42
2024-08-16,Wednesday,NL Interval,MAIN,Missa inte - Fotopresenter från endast 59 kr!,3012,0.1225,0,0,0,0,1,1,1,1,8,33
2024-07-16,Sunday,NL Interval,MAIN,Skynda dig | -54% på XXL-Canvastavla!,3117,0.1251,0,0,0,1,1,1,1,1,7,24
2024-08-18,Friday,NL Interval,MAIN,Upp till -63% på favorit Väggdekorationer!,3576,0.1669,0,0,0,0,0,1,0,1,8,30
2024-04-05,Wednesday,NL Interval,MAIN,Missa inte - Fotopresenter från endast 59 kr!,1086,0.1519,0,0,0,0,1,1,1,1,4,33
2024-06-30,Friday,NL Interval,MAIN,2 dagar | Canvastavlor från endast 185 kr!,2778,0.1188,0,0,0,1,0,1,0,1,6,28
2024-12-14,Thursday,NL Final,REM,&#x1f92b; Tiden håller på att rinna ut! Mysterierabatten upphör snart att gälla!,9036,0.089,1,0,1,1,1,0,0,0,12,54
2024-08-13,Sunday,NL Interval,MAIN,Skynda dig | -54% på XXL-Canvastavla!,3324,0.1182,0,0,0,1,1,1,1,1,8,24
2024-03-04,Friday,NL Interval,MAIN,Personlig väggdekoration till fantastiska priser!,3462,0.0719,0,0,0,0,0,0,0,1,3,43
2024-06-28,Wednesday,NL Interval,MAIN,Missa inte - Fotopresenter från endast 59 kr!,2814,0.1258,0,0,0,0,1,1,1,1,6,33
2024-02-01,Wednesday,NL Interval,MAIN,Personlig väggdekoration till fantastiska priser!,13737,0.0989,0,0,0,0,0,0,0,1,2,43
2024-03-01,Wednesday,NL Interval,MAIN,Dekorativ inredning för hemmet till de bästa priset,228,0.2763,0,0,0,0,0,0,0,1,3,42
2024-06-07,Wednesday,NL Interval,MAIN,Missa inte - Fotopresenter från endast 59 kr!,1188,0.1237,0,0,0,0,1,1,1,1,6,33
2024-05-24,Wednesday,NL Interval,MAIN,Missa inte - Fotopresenter från endast 59 kr!,357,0.1176,0,0,0,0,1,1,1,1,5,33
2024-12-01,Friday,NL Interval,MAIN,Otroligt ✨ 3 XXL-format för 249 kr styck,11295,0.17,0,0,1,0,1,1,0,0,12,26
2024-09-08,Friday,NL Interval,MAIN,Upp till -63% på favorit Väggdekorationer!,3747,0.1633,0,0,0,0,0,1,0,1,9,30
2024-09-13,Wednesday,NL Interval,MAIN,Skynda dig! Väggdekor från endast 39kr!,3921,0.1561,0,0,0,1,1,1,1,1,9,28
2024-09-01,Friday,NL Interval,MAIN,Otroligt ✨ 3 XXL-format för 249 kr styck,5427,0.1205,0,0,1,0,1,1,0,0,9,26
2024-12-02,Saturday,NL Final,MAIN,Använd din kod 39GX32V0 &#x1f525; | Spara nu!,7257,0.0699,0,0,1,1,1,0,1,0,12,21
2024-11-25,Saturday,NL Final,REM,"Skynda dig! Ju större Canvas, desto större rabatt! &#x2b50;",9078,0.1001,1,0,1,1,1,0,1,1,11,38
2024-08-02,Wednesday,NL Interval,MAIN,Skynda dig! Väggdekor från endast 39kr!,3111,0.1572,0,0,0,1,1,1,1,1,8,28
2024-10-02,Sunday,NL Interval,MAIN,Dekorativ inredning för hemmet till de bästa priset,2562,0.0913,0,0,0,0,0,0,0,1,10,42
2024-07-05,Wednesday,NL Interval,MAIN,✨ 3 Canvastavlor | 2 dagar | Upp till 54% rabatt!,3282,0.1764,0,0,1,1,1,1,0,1,7,30
2024-10-04,Wednesday,NL Interval,MAIN,✨ 3 Canvastavlor | 2 dagar | Upp till 54% rabatt!,4347,0.1636,0,0,1,1,1,1,0,1,10,30
2024-07-09,Sunday,NL Interval,MAIN,3 dagar - 4 produkter - upp till 76% rabatt!,3231,0.1337,0,0,0,1,0,1,0,0,7,27
2024-12-14,Thursday,NL Final,REM,&#x1f385;&#x1f3fb; Din hemliga rabatt går snart ut! Lös mysteriet nu!,72147,0.0906,1,0,1,1,1,0,1,0,12,38
2024-09-02,Friday,NL Interval,MAIN,Dekorativ inredning för hemmet till de bästa priset,4161,0.1305,0,0,0,0,0,0,0,1,9,42
2024-09-20,Wednesday,NL Interval,MAIN,Skynda dig! Väggdekor från endast 39kr!,3831,0.1308,0,0,0,1,1,1,1,1,9,28
2024-05-24,Wednesday,NL Interval,MAIN,✨ 3 Canvastavlor | 2 dagar | Upp till 54% rabatt!,3717,0.1469,0,0,1,1,1,1,0,1,5,30
2024-07-28,Friday,NL Interval,MAIN,Upp till -63% på favorit Väggdekorationer!,3201,0.164,0,0,0,0,0,1,0,1,7,30
2024-06-09,Friday,NL Interval,MAIN,2 dagar | Canvastavlor från endast 185 kr!,3105,0.1411,0,0,0,1,0,1,0,1,6,28
2024-09-01,Friday,NL Interval,MAIN,Upp till 58% rabatt på de mest älskade Canvastavlor! &#x1F929;,3597,0.141,0,0,1,0,1,1,0,1,9,38
2024-07-01,Friday,NL Interval,MAIN,Otroligt ✨ 3 XXL-format för 249 kr styck,4215,0.079,0,0,1,0,1,1,0,0,7,26
2024-05-24,Wednesday,NL Interval,MAIN,Missa inte - Fotopresenter från endast 59 kr!,2772,0.1212,0,0,0,0,1,1,1,1,5,33
2024-05-05,Friday,NL Interval,MAIN,2 dagar | Canvastavlor från endast 185 kr!,2178,0.1446,0,0,0,1,0,1,0,1,5,28
2024-04-02,Sunday,NL Interval,MAIN,3 dagar - 4 produkter - upp till 76% rabatt!,1347,0.1849,0,0,0,1,0,1,0,0,4,27
2024-03-29,Wednesday,NL Interval,MAIN,Skynda dig! Väggdekor från endast 39kr!,1146,0.2199,0,0,0,1,1,1,1,1,3,28
2024-09-13,Wednesday,NL Interval,MAIN,Skynda dig! Väggdekor från endast 39kr!,4734,0.097,0,0,0,1,1,1,1,1,9,28
2024-09-24,Sunday,NL Interval,MAIN,Skynda dig | -54% på XXL-Canvastavla!,3789,0.1219,0,0,0,1,1,1,1,1,9,24
2024-08-04,Friday,NL Interval,MAIN,Upp till 58% rabatt på de mest älskade Canvastavlor! &#x1F929;,3069,0.1281,0,0,1,0,1,1,0,1,8,38
2024-12-14,Thursday,NL Final,REM,&#x1f92b; Tiden håller på att rinna ut! Mysterierabatten upphör snart att gälla!,9162,0.0887,1,0,1,1,1,0,0,0,12,54
2024-01-01,Sunday,NL Interval,MAIN,Premiumtryck upp till 78% rabatt!,16983,0.0793,0,0,0,0,0,1,0,1,1,25
2024-06-23,Friday,NL Interval,MAIN,Upp till 58% rabatt på de mest älskade Canvastavlor! &#x1F929;,3249,0.1219,0,0,1,0,1,1,0,1,6,38
2024-11-25,Saturday,NL Final,REM,"&#x1f6a8; Bara två dagar kvar av Black Week Mega Sale! | Skynda dig, {{ contact.1 }}!",9099,0.095,1,1,1,1,1,0,1,0,11,43
2024-11-17,Friday,NL Interval,MAIN,Upp till -63% på favorit Väggdekorationer!,6234,0.1328,0,0,0,0,0,1,0,1,11,30
2024-08-09,Wednesday,NL Interval,MAIN,Skynda dig! Väggdekor från endast 39kr!,3369,0.1407,0,0,0,1,1,1,1,1,8,28
2024-01-02,Sunday,NL Interval,MAIN,Personlig väggdekoration till fantastiska priser!,3402,0.0767,0,0,0,0,0,0,0,1,1,43
2024-07-23,Sunday,NL Interval,MAIN,(72h) Upp till 65% rabatt på Väggdekorationer!,2739,0.1303,0,0,0,1,0,1,0,1,7,30
2024-10-22,Sunday,NL Interval,MAIN,3 dagar - 4 produkter - upp till 76% rabatt!,5583,0.1236,0,0,0,1,0,1,0,0,10,27
2024-05-14,Sunday,NL Interval,MAIN,Skynda dig | -54% på XXL-Canvastavla!,3276,0.1163,0,0,0,1,1,1,1,1,5,24
2024-06-28,Wednesday,NL Interval,MAIN,Skynda dig! Väggdekor från endast 39kr!,2988,0.1596,0,0,0,1,1,1,1,1,6,28
2024-03-01,Wednesday,NL Interval,MAIN,Personlig väggdekoration till fantastiska priser!,300,0.32,0,0,0,0,0,0,0,1,3,43
2024-03-04,Friday,NL Interval,MAIN,Dekorativ inredning för hemmet till de bästa priset,2400,0.06,0,0,0,0,0,0,0,1,3,42
2024-06-23,Friday,NL Interval,MAIN,Upp till -63% på favorit Väggdekorationer!,3081,0.1646,0,0,0,0,0,1,0,1,6,30
2024-04-30,Sunday,NL Interval,MAIN,(72h) Upp till 65% rabatt på Väggdekorationer!,2184,0.1552,0,0,0,1,0,1,0,1,4,30
2024-07-12,Wednesday,NL Interval,MAIN,✨ 3 Canvastavlor | 2 dagar | Upp till 54% rabatt!,3123,0.194,0,0,1,1,1,1,0,1,7,30
2024-08-25,Friday,NL Interval,MAIN,Upp till -63% på favorit Väggdekorationer!,3690,0.1317,0,0,0,0,0,1,0,1,8,30
2024-12-02,Saturday,NL Final,MAIN,Otroligt! Upp till 84% rabatt + 25% MER den 2 december &#x1f92f;,57747,0.0647,1,0,1,1,1,1,0,0,12,35
2024-09-27,Wednesday,NL Interval,MAIN,✨ 3 Canvastavlor | 2 dagar | Upp till 54% rabatt!,5112,0.1438,0,0,1,1,1,1,0,1,9,30
2024-09-20,Wednesday,NL Interval,MAIN,Missa inte - Fotopresenter från endast 59 kr!,3927,0.1436,0,0,0,0,1,1,1,1,9,33
2024-03-24,Friday,NL Interval,MAIN,Upp till -63% på favorit Väggdekorationer!,1173,0.2302,0,0,0,0,0,1,0,1,3,30
2024-03-31,Friday,NL Interval,MAIN,Upp till -63% på favorit Väggdekorationer!,1365,0.1978,0,0,0,0,0,1,0,1,3,30
2024-09-17,Sunday,NL Interval,MAIN,3 dagar - 4 produkter - upp till 76% rabatt!,3597,0.1501,0,0,0,1,0,1,0,0,9,27
2024-08-30,Wednesday,NL Interval,MAIN,Missa inte - Fotopresenter från endast 59 kr!,3147,0.1563,0,0,0,0,1,1,1,1,8,33
2024-09-22,Friday,NL Interval,MAIN,Upp till 58% rabatt på de mest älskade Canvastavlor! &#x1F929;,3813,0.129,0,0,1,0,1,1,0,1,9,38
2024-10-15,Sunday,NL Interval,MAIN,Skynda dig | -54% på XXL-Canvastavla!,4473,0.1221,0,0,0,1,1,1,1,1,10,24
2024-08-13,Sunday,NL Interval,MAIN,(72h) Upp till 65% rabatt på Väggdekorationer!,2694,0.1013,0,0,0,1,0,1,0,1,8,30
2024-03-22,Wednesday,NL Interval,MAIN,✨ 3 Canvastavlor | 2 dagar | Upp till 54% rabatt!,1188,0.3157,0,0,1,1,1,1,0,1,3,30
2024-11-30,Wednesday,NL Interval,MAIN,Canvastavla 100x75cm för bara 199 kr,40236,0.1491,0,0,0,0,0,1,0,1,11,22
2024-10-20,Friday,NL Interval,MAIN,2 dagar | Canvastavlor från endast 185 kr!,4515,0.1276,0,0,0,1,0,1,0,1,10,28
2024-10-04,Wednesday,NL Interval,MAIN,Skynda dig! Väggdekor från endast 39kr!,5139,0.1319,0,0,0,1,1,1,1,1,10,28
2024-12-13,Wednesday,NL Interval,MAIN,Missa inte - Fotopresenter från endast 59 kr!,9771,0.1084,0,0,0,0,1,1,1,1,12,33
2024-11-12,Sunday,NL Interval,MAIN,3 dagar - 4 produkter - upp till 76% rabatt!,6624,0.1146,0,0,0,1,0,1,0,0,11,27
2024-05-31,Wednesday,NL Interval,MAIN,Skynda dig! Väggdekor från endast 39kr!,3597,0.1693,0,0,0,1,1,1,1,1,5,28
2024-04-26,Wednesday,NL Interval,MAIN,Missa inte - Fotopresenter från endast 59 kr!,2217,0.1719,0,0,0,0,1,1,1,1,4,33
2024-07-26,Wednesday,NL Interval,MAIN,✨ 3 Canvastavlor | 2 dagar | Upp till 54% rabatt!,3225,0.1972,0,0,1,1,1,1,0,1,7,30
2024-08-06,Sunday,NL Interval,MAIN,3 dagar - 4 produkter - upp till 76% rabatt!,3399,0.135,0,0,0,1,0,1,0,0,8,27
2024-07-02,Sunday,NL Interval,MAIN,Skynda dig | -54% på XXL-Canvastavla!,1851,0.1102,0,0,0,1,1,1,1,1,7,24
2024-03-01,Wednesday,NL Interval,MAIN,Otroligt ✨ 3 XXL-format för 249 kr styck,2085,0.0245,0,0,1,0,1,1,0,0,3,26
2024-11-21,Tuesday,NL Interval,MAIN,"&#x1f4a5; Black Week börjar! | MEGA rabatter redan idag, {{ contact.1 }}!",71517,0.1039,1,1,1,1,0,0,0,0,11,35
2024-04-12,Wednesday,NL Interval,MAIN,✨ 3 Canvastavlor | 2 dagar | Upp till 54% rabatt!,2364,0.2284,0,0,1,1,1,1,0,1,4,30
2024-07-30,Sunday,NL Interval,MAIN,(72h) Upp till 65% rabatt på Väggdekorationer!,3093,0.0999,0,0,0,1,0,1,0,1,7,30
2024-10-13,Friday,NL Interval,MAIN,Upp till 58% rabatt på de mest älskade Canvastavlor! &#x1F929;,4500,0.1147,0,0,1,0,1,1,0,1,10,38
2024-10-29,Sunday,NL Interval,MAIN,3 dagar - 4 produkter - upp till 76% rabatt!,4977,0.135,0,0,0,1,0,1,0,0,10,27
2024-07-19,Wednesday,NL Interval,MAIN,Missa inte - Fotopresenter från endast 59 kr!,2769,0.1311,0,0,0,0,1,1,1,1,7,33
2024-12-27,Wednesday,NL Interval,MAIN,✨ 3 Canvastavlor | 2 dagar | Upp till 54% rabatt!,9243,0.1123,0,0,1,1,1,1,0,1,12,30
2024-09-15,Friday,NL Interval,MAIN,Upp till -63% på favorit Väggdekorationer!,3621,0.1508,0,0,0,0,0,1,0,1,9,30
2024-12-08,Friday,NL Interval,MAIN,Upp till -63% på favorit Väggdekorationer!,8913,0.1259,0,0,0,0,0,1,0,1,12,30
2024-08-06,Sunday,NL Interval,MAIN,Skynda dig | -54% på XXL-Canvastavla!,3042,0.1114,0,0,0,1,1,1,1,1,8,24
2024-12-03,Sunday,NL Interval,MAIN,3 dagar - 4 produkter - upp till 76% rabatt!,9762,0.1156,0,0,0,1,0,1,0,0,12,27
2024-06-11,Sunday,NL Interval,MAIN,Skynda dig | -54% på XXL-Canvastavla!,984,0.1067,0,0,0,1,1,1,1,1,6,24
2024-12-07,Thursday,NL Final,MAIN,&#x1f381; Shh... Det är ett mystiskt erbjudande bara för dig!,83058,0.0654,0,0,1,0,1,0,1,0,12,37
2024-10-20,Friday,NL Interval,MAIN,Upp till -63% på favorit Väggdekorationer!,5619,0.1265,0,0,0,0,0,1,0,1,10,30
2024-12-02,Saturday,NL Final,MAIN,-20% EXTRA på hela din beställning | Kod i detta e-postmeddelande &#x1f440;,9042,0.1048,1,0,1,0,0,1,0,0,12,47
2024-08-20,Sunday,NL Interval,MAIN,3 dagar - 4 produkter - upp till 76% rabatt!,3540,0.1576,0,0,0,1,0,1,0,0,8,27
2024-12-06,Wednesday,NL Interval,MAIN,✨ 3 Canvastavlor | 2 dagar | Upp till 54% rabatt!,9036,0.1531,0,0,1,1,1,1,0,1,12,30
2024-07-09,Sunday,NL Interval,MAIN,(72h) Upp till 65% rabatt på Väggdekorationer!,2181,0.0977,0,0,0,1,0,1,0,1,7,30
2024-05-10,Wednesday,NL Interval,MAIN,✨ 3 Canvastavlor | 2 dagar | Upp till 54% rabatt!,3282,0.1892,0,0,1,1,1,1,0,1,5,30
2024-04-28,Friday,NL Interval,MAIN,2 dagar | Canvastavlor från endast 185 kr!,2202,0.1717,0,0,0,1,0,1,0,1,4,28
2024-05-12,Friday,NL Interval,MAIN,Upp till -63% på favorit Väggdekorationer!,3222,0.1676,0,0,0,0,0,1,0,1,5,30
2024-07-19,Wednesday,NL Interval,MAIN,Skynda dig! Väggdekor från endast 39kr!,3063,0.1499,0,0,0,1,1,1,1,1,7,28
2024-09-03,Sunday,NL Interval,MAIN,(72h) Upp till 65% rabatt på Väggdekorationer!,3090,0.1398,0,0,0,1,0,1,0,1,9,30
2024-05-26,Friday,NL Interval,MAIN,Upp till -63% på favorit Väggdekorationer!,3657,0.1329,0,0,0,0,0,1,0,1,5,30
2024-11-19,Sunday,NL Interval,MAIN,3 dagar - 4 produkter - upp till 76% rabatt!,6177,0.1268,0,0,0,1,0,1,0,0,11,27
2024-11-05,Sunday,NL Interval,MAIN,Skynda dig | -54% på XXL-Canvastavla!,5196,0.1143,0,0,0,1,1,1,1,1,11,24
2024-06-18,Sunday,NL Interval,MAIN,(72h) Upp till 65% rabatt på Väggdekorationer!,1341,0.1007,0,0,0,1,0,1,0,1,6,30
2024-11-08,Wednesday,NL Interval,MAIN,Missa inte - Fotopresenter från endast 59 kr!,5325,0.1273,0,0,0,0,1,1,1,1,11,33
2024-10-22,Sunday,NL Interval,MAIN,(72h) Upp till 65% rabatt på Väggdekorationer!,4491,0.1149,0,0,0,1,0,1,0,1,10,30
2024-07-16,Sunday,NL Interval,MAIN,(72h) Upp till 65% rabatt på Väggdekorationer!,22083,0.0924,0,0,0,1,0,1,0,1,7,30
2024-12-17,Sunday,NL Interval,MAIN,(72h) Upp till 65% rabatt på Väggdekorationer!,9666,0.0872,0,0,0,1,0,1,0,1,12,30
2024-08-16,Wednesday,NL Interval,MAIN,Skynda dig! Väggdekor från endast 39kr!,16668,0.1078,0,0,0,1,1,1,1,1,8,28
2024-10-01,Sunday,NL Interval,MAIN,3 dagar - 4 produkter - upp till 76% rabatt!,4959,0.121,0,0,0,1,0,1,0,0,10,27
2024-07-26,Wednesday,NL Interval,MAIN,Missa inte - Fotopresenter från endast 59 kr!,2568,0.1495,0,0,0,0,1,1,1,1,7,33
2024-11-02,Wednesday,NL Interval,MAIN,Otroligt ✨ 3 XXL-format för 249 kr styck,62505,0.1046,0,0,1,0,1,1,0,0,11,26
2024-12-24,Sunday,NL Interval,MAIN,3 dagar - 4 produkter - upp till 76% rabatt!,12243,0.0988,0,0,0,1,0,1,0,0,12,27
2024-04-16,Sunday,NL Interval,MAIN,(72h) Upp till 65% rabatt på Väggdekorationer!,1251,0.1319,0,0,0,1,0,1,0,1,4,30
2024-09-20,Wednesday,NL Interval,MAIN,Missa inte - Fotopresenter från endast 59 kr!,4623,0.1071,0,0,0,0,1,1,1,1,9,33
2024-09-27,Wednesday,NL Interval,MAIN,Missa inte - Fotopresenter från endast 59 kr!,3849,0.1216,0,0,0,0,1,1,1,1,9,33
2024-06-07,Wednesday,NL Interval,MAIN,Skynda dig! Väggdekor från endast 39kr!,3195,0.1812,0,0,0,1,1,1,1,1,6,28
2024-09-13,Wednesday,NL Interval,MAIN,✨ 3 Canvastavlor | 2 dagar | Upp till 54% rabatt!,3672,0.1667,0,0,1,1,1,1,0,1,9,30
2024-05-21,Sunday,NL Interval,MAIN,(72h) Upp till 65% rabatt på Väggdekorationer!,2925,0.1046,0,0,0,1,0,1,0,1,5,30
2024-06-11,Sunday,NL Interval,MAIN,(72h) Upp till 65% rabatt på Väggdekorationer!,3093,0.0989,0,0,0,1,0,1,0,1,6,30
